Date,Category,Amount,Balance
2020-01-01,Income,7234.93,12234.93
2020-01-04,Personal/Entertainment,-64.31,12170.619999999999
2020-01-06,Insurance,-233.15,11937.470000000001
2020-01-07,Groceries,-50.28,11887.19
2020-01-07,Personal/Entertainment,-116.31,11770.880000000001
2020-01-09,Personal/Entertainment,-224.29,11546.59
2020-01-12,Utilities,-177.35,11369.24
2020-01-12,Personal/Entertainment,-190.82,11178.42
2020-01-12,Healthcare,-67.57,11110.85
2020-01-14,Transportation,-38.91,11071.94
2020-01-14,Personal/Entertainment,-293.72,10778.220000000001
2020-01-15,Groceries,-131.93,10646.29
2020-01-15,Personal/Entertainment,-265.61,10380.68
2020-01-16,Groceries,-123.06,10257.619999999999
2020-01-17,Transportation,-36.25,10221.369999999999
2020-01-19,Personal/Entertainment,-219.59,10001.779999999999
2020-01-19,Housing,-1083.55,8918.23
2020-01-19,Utilities,-175.08,8743.15
2020-01-22,Personal/Entertainment,-169.61,8573.539999999999
2020-01-23,Personal/Entertainment,-211.45,8362.09
2020-01-24,Groceries,-146.3,8215.789999999999
2020-01-24,Insurance,-288.96,7926.83
2020-01-24,Utilities,-280.74,7646.089999999999
2020-01-25,Personal/Entertainment,-273.01,7373.079999999999
2020-01-26,Transportation,-29.08,7343.999999999999
2020-01-26,Groceries,-143.82,7200.1799999999985
2020-01-26,Transportation,-49.3,7150.879999999999
2020-01-26,Personal/Entertainment,-136.5,7014.379999999999
2020-01-27,Groceries,-43.05,6971.329999999999
2020-01-27,Utilities,-230.33,6740.999999999999
2020-01-31,Utilities,-286.27,6454.729999999999
2020-02-01,Income,7177.7,13632.429999999998
2020-02-02,Groceries,-63.04,13569.389999999998
2020-02-02,Insurance,-265.2,13304.189999999997
2020-02-02,Personal/Entertainment,-142.95,13161.239999999998
2020-02-03,Groceries,-49.86,13111.379999999997
2020-02-03,Personal/Entertainment,-148.92,12962.459999999997
2020-02-04,Transportation,-78.16,12884.299999999997
2020-02-04,Groceries,-80.41,12803.889999999998
2020-02-05,Personal/Entertainment,-50.13,12753.759999999998
2020-02-09,Utilities,-284.41,12469.349999999999
2020-02-10,Personal/Entertainment,-230.59,12238.759999999998
2020-02-11,Healthcare,-236.16,12002.599999999999
2020-02-11,Personal/Entertainment,-26.72,11975.879999999997
2020-02-12,Personal/Entertainment,-166.25,11809.629999999997
2020-02-12,Personal/Entertainment,-262.48,11547.149999999998
2020-02-12,Housing,-1415.87,10131.279999999999
2020-02-12,Personal/Entertainment,-108.99,10022.289999999997
2020-02-13,Groceries,-52.75,9969.539999999997
2020-02-13,Transportation,-66.84,9902.699999999997
2020-02-14,Personal/Entertainment,-143.96,9758.739999999998
2020-02-14,Groceries,-50.68,9708.059999999998
2020-02-16,Personal/Entertainment,-20.09,9687.969999999998
2020-02-16,Groceries,-57.46,9630.509999999998
2020-02-18,Personal/Entertainment,-125.66,9504.849999999999
2020-02-19,Utilities,-199.19,9305.659999999998
2020-02-19,Groceries,-44.87,9260.789999999997
2020-02-20,Groceries,-59.21,9201.579999999998
2020-02-21,Personal/Entertainment,-68.02,9133.559999999998
2020-02-22,Personal/Entertainment,-298.56,8834.999999999998
2020-02-22,Groceries,-137.13,8697.869999999997
2020-02-23,Housing,-1764.57,6933.299999999997
2020-02-23,Insurance,-183.84,6749.459999999997
2020-02-27,Personal/Entertainment,-278.71,6470.749999999998
2020-02-28,Personal/Entertainment,-44.92,6425.829999999998
2020-02-28,Groceries,-40.35,6385.479999999998
2020-02-28,Groceries,-76.45,6309.029999999998
2020-02-29,Personal/Entertainment,-49.74,6259.289999999997
2020-03-01,Income,8907.89,15167.179999999997
2020-03-02,Utilities,-149.84,15017.339999999997
2020-03-04,Personal/Entertainment,-214.81,14802.529999999997
2020-03-05,Healthcare,-386.5,14416.029999999997
2020-03-06,Transportation,-75.4,14340.629999999997
2020-03-07,Groceries,-141.37,14199.259999999997
2020-03-07,Utilities,-209.96,13989.299999999997
2020-03-09,Housing,-1994.0,11995.299999999997
2020-03-10,Transportation,-74.73,11920.569999999998
2020-03-13,Utilities,-133.57,11786.999999999998
2020-03-14,Utilities,-269.77,11517.229999999998
2020-03-14,Groceries,-73.55,11443.679999999997
2020-03-15,Utilities,-153.37,11290.309999999998
2020-03-16,Groceries,-119.82,11170.489999999998
2020-03-16,Groceries,-74.05,11096.439999999999
2020-03-19,Groceries,-90.61,11005.829999999998
2020-03-21,Personal/Entertainment,-75.07,10930.759999999998
2020-03-21,Groceries,-107.57,10823.189999999999
2020-03-23,Personal/Entertainment,-196.03,10627.16
2020-03-25,Healthcare,-283.06,10344.099999999999
2020-03-27,Personal/Entertainment,-89.76,10254.339999999998
2020-03-29,Personal/Entertainment,-235.07,10019.269999999999
2020-04-01,Groceries,-107.21,9912.059999999998
2020-04-01,Income,8969.16,18881.219999999998
2020-04-03,Groceries,-129.85,18751.369999999995
2020-04-06,Groceries,-93.86,18657.509999999995
2020-04-06,Personal/Entertainment,-88.6,18568.909999999996
2020-04-08,Groceries,-62.31,18506.6
2020-04-08,Personal/Entertainment,-202.77,18303.829999999994
2020-04-09,Utilities,-293.78,18010.049999999996
2020-04-09,Housing,-1917.02,16093.029999999995
2020-04-09,Utilities,-239.11,15853.919999999995
2020-04-10,Transportation,-38.08,15815.839999999995
2020-04-11,Personal/Entertainment,-175.76,15640.079999999994
2020-04-11,Transportation,-29.81,15610.269999999995
2020-04-13,Personal/Entertainment,-249.48,15360.789999999995
2020-04-14,Housing,-1772.39,13588.399999999996
2020-04-16,Utilities,-158.96,13429.439999999997
2020-04-16,Personal/Entertainment,-27.32,13402.119999999997
2020-04-20,Personal/Entertainment,-284.9,13117.219999999998
2020-04-22,Transportation,-41.78,13075.439999999999
2020-04-22,Transportation,-77.11,12998.329999999998
2020-04-24,Transportation,-76.89,12921.439999999999
2020-04-25,Personal/Entertainment,-225.22,12696.219999999998
2020-04-26,Groceries,-75.1,12621.119999999997
2020-04-27,Housing,-1368.42,11252.699999999997
2020-04-28,Personal/Entertainment,-87.11,11165.589999999997
2020-04-29,Transportation,-79.89,11085.699999999997
2020-05-01,Income,8332.74,19418.439999999995
2020-05-02,Personal/Entertainment,-203.41,19215.03
2020-05-02,Utilities,-156.87,19058.159999999996
2020-05-02,Utilities,-183.09,18875.069999999996
2020-05-04,Groceries,-52.83,18822.239999999998
2020-05-04,Insurance,-251.35,18570.889999999996
2020-05-06,Groceries,-101.09,18469.799999999996
2020-05-07,Personal/Entertainment,-132.17,18337.629999999997
2020-05-09,Utilities,-153.97,18183.659999999996
2020-05-11,Personal/Entertainment,-36.87,18146.789999999994
2020-05-11,Healthcare,-169.44,17977.349999999995
2020-05-13,Utilities,-192.28,17785.069999999992
2020-05-14,Groceries,-77.27,17707.799999999996
2020-05-14,Groceries,-43.61,17664.189999999995
2020-05-17,Transportation,-21.09,17643.09999999999
2020-05-18,Groceries,-98.17,17544.929999999993
2020-05-18,Groceries,-76.33,17468.59999999999
2020-05-18,Personal/Entertainment,-220.89,17247.709999999992
2020-05-19,Personal/Entertainment,-167.45,17080.259999999995
2020-05-19,Groceries,-90.44,16989.819999999992
2020-05-19,Personal/Entertainment,-129.53,16860.289999999994
2020-05-20,Housing,-1214.92,15645.369999999992
2020-05-28,Transportation,-51.79,15593.57999999999
2020-05-28,Utilities,-259.46,15334.119999999992
2020-05-28,Groceries,-144.05,15190.069999999992
2020-05-28,Personal/Entertainment,-134.09,15055.979999999992
2020-05-30,Personal/Entertainment,-189.34,14866.639999999992
2020-05-31,Transportation,-55.39,14811.249999999993
2020-06-01,Personal/Entertainment,-100.99,14710.259999999993
2020-06-01,Groceries,-64.82,14645.439999999993
2020-06-01,Income,9030.13,23675.569999999992
2020-06-07,Utilities,-209.52,23466.049999999992
2020-06-07,Housing,-1643.81,21822.23999999999
2020-06-08,Transportation,-67.91,21754.32999999999
2020-06-11,Transportation,-77.28,21677.049999999992
2020-06-14,Utilities,-150.98,21526.069999999992
